-176;-144;-872
-168;-96;-912
-168;-56;-888
-184;-72;-896
-216;-64;-920
-248;-56;-904
-288;-56;-936
-288;-40;-936
-328;0;-888
-336;-8;-912
-328;-8;-904
-328;-24;-864
-352;-32;-792
-376;-16;-840
-408;-8;-832
-424;8;-840
-408;72;-920
-416;96;-896
-416;96;-920
-400;104;-1000
-432;80;-944
-440;40;-952
-440;56;-936
-432;56;-920
-400;40;-968
-408;16;-976
-432;40;-976
-440;56;-936
-448;56;-912
-440;48;-904
-432;88;-904
-440;88;-952
-440;96;-936
-456;72;-1032
-456;32;-1144
-448;32;-1112
-448;8;-1120
-432;8;-1136
-424;48;-1200
-416;48;-1104
-424;40;-1184
-416;24;-1136
-400;32;-1072
-408;48;-976
-392;48;-872
-384;32;-776
-376;40;-648
-360;32;-552
-336;-8;-488
-312;-64;-456
-280;-104;-448
-248;-96;-360
-240;-48;-384
-208;0;-352
-192;48;-256
-136;160;-448
-72;368;-712
-80;584;-952
-168;648;-1000
-176;504;-1272
-184;328;-1368
-168;216;-1328
-184;312;-1376
-144;368;-1584
-40;328;-1760
80;200;-1816
104;-8;-1696
88;-176;-1496
80;-152;-1128
64;-32;-944
40;104;-880
16;184;-888
8;200;-888
-8;176;-928
-32;152;-952
-56;144;-936
-56;160;-896
-72;184;-880
-104;200;-936
-112;200;-904
-144;216;-912
-168;224;-936
-208;232;-928
-200;248;-912
-184;256;-872
-208;248;-840
-200;216;-840
-232;192;-832
-240;200;-840
-200;216;-912
-184;224;-968
-192;248;-976
-192;248;-1000
-184;224;-1032
-152;232;-1016
-160;232;-984
-136;232;-976
-112;264;-936
-104;280;-944
-120;264;-936
-96;264;-936
-104;264;-968
-112;232;-928
-88;240;-928
-96;240;-952
-112;248;-912
-104;248;-912
-104;240;-912
-112;248;-928
-104;288;-912
-104;304;-864
-112;304;-912
-88;288;-936
-96;296;-944
-120;280;-952
-80;296;-936
-96;296;-968
-104;272;-936
-112;296;-936
-112;272;-960
-112;280;-912
-104;304;-928
-104;288;-944
-112;288;-888
-128;272;-920
-144;256;-912
-112;248;-928
-144;256;-912
-144;264;-920
-136;248;-904
-144;264;-888
-152;272;-896
-128;280;-888
-136;280;-864
-200;304;-928
-216;344;-1008
-176;288;-1088
-144;280;-1040
-144;256;-1008
-136;248;-1000
-104;232;-936
-88;232;-912
-96;272;-920
-104;264;-936
-112;256;-920
-152;272;-896
-160;288;-880
-160;288;-912
-144;288;-960
-144;336;-944
-144;304;-912
-160;312;-912
-152;320;-920
-152;312;-944
-152;336;-944
-136;328;-952
-144;328;-952
-136;336;-968
-128;336;-896
-112;320;-1000
-96;344;-984
-72;360;-968
-64;376;-1016
-56;368;-968
-72;352;-1000
-88;336;-1016
-104;288;-984
-120;248;-992
-144;240;-1000
-120;256;-976
