800;168;64
880;248;112
1000;352;104
1152;432;184
1328;528;152
1528;656;120
1816;680;120
2136;672;120
2360;688;80
2488;760;32
2520;848;-48
2440;936;-88
2360;1000;-144
2248;1000;-216
2168;1016;-240
2000;1008;-280
1816;952;-296
1592;864;-232
1328;808;-144
1056;776;8
792;784;152
552;776;160
336;768;112
192;768;48
160;832;-64
160;840;-176
152;880;-280
176;864;-312
152;880;-312
64;848;-248
-8;744;-248
-64;632;-176
-72;536;-136
-72;448;-56
-56;376;-40
-48;304;-40
-32;232;-8
-8;184;-16
0;144;-16
32;144;0
56;96;0
80;48;-16
96;48;-40
104;32;32
96;8;-8
128;8;-32
120;32;16
128;64;40
128;72;0
152;112;-16
216;144;0
272;136;-120
432;160;-192
760;216;-216
1176;232;-48
1776;312;192
2592;424;448
3336;520;680
3712;568;792
3896;696;816
3648;792;792
3520;864;688
3624;856;560
3696;832;424
3584;760;208
3312;600;72
2976;456;-16
2592;376;-56
2200;352;16
1832;352;120
1464;416;216
1112;480;240
760;624;248
432;712;72
112;752;-136
-144;744;-280
-360;712;-336
-448;600;-384
-472;496;-336
-400;376;-280
-264;240;-264
-136;112;-200
-48;0;-232
-16;-72;-144
40;-120;-32
96;-88;16
144;-88;96
152;-72;200
168;-72;192
200;-96;200
208;-120;96
216;-120;120
184;-80;88
128;-80;72
104;-48;16
56;0;8
32;56;56
16;104;24
0;112;56
-32;96;72
-40;56;24
-56;32;40
-56;32;16
-40;32;32
-8;32;0
80;40;-64
248;88;-200
512;176;-248
936;232;-168
1456;296;72
2104;352;344
3000;392;560
3544;464;848
3816;512;936
3840;632;968
3656;760;848
3720;792;800
3832;784;544
3800;720;312
3672;632;104
3456;560;-48
3176;536;-80
2824;512;-80
2440;528;32
2016;576;168
1576;632;224
1128;696;128
728;752;72
328;776;-48
32;784;-208
-288;712;-336
-496;632;-384
-600;480;-368
-560;328;-392
-408;168;-344
-264;24;-296
-160;-16;-208
-112;32;-200
-96;64;-136
-72;88;-96
-24;80;-80
0;64;-24
64;80;-40
120;80;-48
184;88;-72
208;80;-96
208;88;-88
208;88;-120
192;80;-64
144;80;-72
96;88;-64
64;80;-72
32;64;-32
0;40;-32
0;8;-8
-8;-32;-24
-24;-56;0
-24;-48;40
16;-24;8
96;0;-64
232;40;-104
464;80;-192
832;88;-24
1272;144;256
1800;224;696
2576;296;856
3328;376;1112
3704;408;1352
3888;520;1200
3560;656;992
3528;816;856
3792;944;560
3912;912;368
3816;744;80
3600;552;-32
3256;496;-144
2848;464;-120
2424;440;-104
1936;392;40
1472;360;200
1000;400;232
576;480;96
184;592;-32
-160;664;-152
-456;696;-304
-608;616;-480
-624;480;-576
-504;272;-504
-352;128;-320
-176;104;-200
-80;120;-112
-32;144;-48
-8;120;-24
56;152;56
72;152;72
136;120;80
160;80;40
168;8;72
176;-8;80
176;-32;32
184;-8;96
136;24;32
104;32;24
64;32;64
16;24;64
-8;40;112
-32;40;56
-48;16;56
-64;32;104
-48;56;72
-64;56;48
-64;48;80
-32;80;40
32;120;0
120;96;-8
240;72;-80
448;112;-264
784;184;-320
1248;288;-184
1824;368;160
2616;472;440
3352;576;792
3712;536;1088
3896;584;960
3624;720;872
16;-8;96
-48;-8;64
-88;-16;40
-96;0;32
-96;16;32
-96;24;16
-88;32;40
-56;24;56
-48;8;88
-48;-8;88
-40;0;88
-16;24;48
24;56;88
72;64;8
152;72;-24
304;120;-144
552;208;-304
968;312;-256
1488;392;-48
2096;480;160
2976;608;424
3528;728;656
3808;688;808
3944;648;792
3864;680;712
3976;768;640
4024;784;456
4056;728;160
4072;712;-8
3912;696;-120
3568;712;-160
3144;744;-320
2712;744;-112
2232;752;-32
1776;728;104
1296;672;176
880;616;216
464;536;248
48;456;72
-328;328;-208
-640;208;-192
-808;192;-232
-792;176;-144
-632;88;40
-432;32;104
-288;-24;160
-176;-72;152
-104;-120;104
-16;-64;120
64;-40;136
144;-32;144
216;8;200
256;32;192
248;64;176
224;64;160
176;96;168
160;80;128
120;48;88
80;24;80
48;-48;80
0;-80;32
0;-88;8
-48;-80;-8
-72;-80;16
-80;-40;40
-88;-16;72
-96;-8;16
-88;8;32
-88;40;40
-88;64;-8
-80;112;64
-64;120;8
-24;112;-40
56;144;-56
136;168;-80
328;184;-224
688;240;-360
1184;224;-256
1776;248;80
2440;312;392
3256;464;680
3672;560;1048
3880;552;1464
3712;496;1560
3376;632;1280
3176;776;832
2984;928;-192
2904;856;-864
2568;576;-1696
2056;320;-1456
1744;192;-896
1792;160;-216
1784;336;48
1632;496;96
1392;552;160
1184;528;160
952;504;200
784;424;152
648;200;48
568;-40;96
496;-144;-8
432;-56;0
416;64;88
392;216;128
400;288;144
384;288;192
368;200;216
376;96;152
392;48;136
432;24;104
472;16;80
496;48;152
520;64;136
600;104;104
680;120;152
752;152;120
840;208;80
952;224;64
1072;232;72
1200;200;128
1280;160;208
1336;160;248
1408;168;272
1472;224;312
1480;272;336
1488;312;328
1504;336;304
1480;368;264
1448;352;224
1408;328;184
1312;296;200
1192;256;144
1080;224;104
960;240;80
864;232;72
760;216;8
640;184;40
544;152;48
440;128;80
320;88;96
216;40;40
144;0;72
64;-24;24
8;-24;72
-16;-32;112
-8;-8;56
32;32;96
64;48;96
96;16;56
200;8;-16
344;-8;-72
568;16;-216
824;72;-264
1152;168;-184
1536;296;-24
1976;376;160
2512;528;216
3104;648;320
3456;736;280
3472;720;488
3280;696;384
3200;664;368
3264;616;352
3320;648;304
3232;632;232
3112;648;248
2976;656;240
2760;656;224
2520;656;344
2224;672;480
1912;704;520
1584;728;496
1248;704;392
976;712;320
688;664;208
432;584;40
144;512;-136
-176;384;-224
-480;320;-224
-656;256;-224
-656;184;-184
-576;104;-64
-400;56;16
-232;8;72
-88;0;144
-56;-16;136
8;0;80
48;0;104
88;-8;56
176;0;80
208;0;120
192;-8;120
176;0;144
128;24;216
104;32;144
56;32;128
24;32;88
-24;16;88
-88;-16;72
-120;-24;32
-144;-32;16
-136;-16;0
-128;-32;48
-112;-32;0
-104;-72;16
-72;-64;56
-56;-24;64
-24;-8;88
-24;8;80
8;56;48
56;72;24
144;88;-32
296;128;-152
576;160;-296
1016;240;-360
1600;312;-136
2400;432;312
3240;640;648
3664;648;1240
3872;520;1216
3600;560;1192
3672;680;984
3880;768;664
3976;744;336
4032;632;24
3984;560;-248
3720;536;-344
3288;536;-312
2840;544;-152
2360;640;-120
1888;704;152
1408;712;208
968;664;232
552;608;168
136;512;96
-240;360;-80
-584;296;-64
-768;280;-112
-840;224;0
-752;168;96
-584;64;176
-376;8;280
-224;-32;240
-112;-40;272
-24;-16;224
80;16;192
112;40;176
216;40;168
280;32;216
272;16;208
232;8;160
168;-8;176
120;-32;136
80;-56;152
56;-56;136
16;-96;136
-16;-144;88
-72;-192;80
-104;-224;96
-112;-240;56
-112;-176;88
-112;-152;96
-96;-104;80
-88;-64;80
-72;-40;24
-24;8;16
0;64;-32
40;96;-80
120;96;-120
200;128;-256
328;136;-264
584;176;-408
968;232;-432
1472;272;-176
2128;312;112
3088;400;432
3584;552;1000
3832;536;1080
3824;608;976
3624;792;792
3800;944;592
3936;944;496
4008;904;360
4048;896;288
3952;944;320
3640;936;312
3200;912;256
2760;848;224
2280;784;336
1816;712;384
1392;648;336
936;560;168
488;416;32
8;280;-152
-480;128;-208
-864;-16;-320
-1080;-32;-160
-1064;-16;0
-824;-48;88
-560;-80;160
-304;-88;152
-136;-120;136
-8;-112;168
88;-72;184
176;8;184
248;24;192
288;64;168
272;112;184
240;88;144
200;88;152
160;136;104
104;144;88
16;128;32
-40;96;32
-80;64;0
-112;16;16
-112;-48;8
-112;-88;-40
-80;-136;-24
-72;-128;-8
-64;-96;40
-48;-64;72
-48;-32;24
-40;-24;88
-16;-24;112
-8;-40;120
0;-24;64
56;0;56
120;32;16
192;16;-24
296;40;-96
440;96;-240
712;168;-352
1104;296;-368
1672;376;-72
2424;408;312
3256;472;688
3672;544;1096
3872;592;984
3632;784;792
3576;1032;592
3824;1128;584
3952;1112;528
4016;1104;400
4048;1120;440
3888;1136;448
3504;1112;344
3008;1024;248
2536;936;224
2096;832;296
1648;720;280
1184;600;144
688;512;-72
208;384;-248
-240;240;-320
-560;152;-288
-760;104;-248
-816;48;-144
-736;-8;8
-544;-104;48
-360;-184;112
-176;-160;136
-80;-112;152
