1120;464;-72
1120;448;-48
1104;432;-64
1088;416;-56
1056;384;-104
1048;376;-96
1048;376;-72
1048;384;-56
1072;360;-40
1112;344;-40
1144;344;-64
1112;344;-64
1096;336;-56
1048;344;-48
1000;328;-64
968;320;-72
936;304;-48
920;304;-64
912;312;-48
928;328;-80
976;336;-88
1024;312;-80
1064;304;-48
1096;296;-128
1112;304;-200
1136;272;-192
1160;224;-216
1176;184;-240
1192;136;-272
1192;120;-224
1200;88;-240
1200;96;-152
1184;96;-128
1160;136;-72
1128;144;-80
1104;168;-32
1088;168;-56
1048;160;-24
1032;152;-32
1000;168;16
984;192;64
984;200;-24
960;184;-16
952;176;8
936;208;24
920;232;48
912;232;24
888;248;16
864;256;32
840;280;24
832;288;8
808;288;80
800;288;16
792;272;32
784;280;8
760;264;40
776;256;16
768;264;40
784;264;0
784;248;-32
824;248;-16
848;264;-8
848;288;24
880;288;-16
904;272;72
928;280;-24
944;288;64
960;280;64
992;304;40
1000;304;56
984;336;32
992;312;80
992;320;40
992;328;16
976;344;48
984;352;16
1008;368;8
1048;376;16
1120;376;-8
1200;392;24
1280;400;-8
1336;408;40
1376;432;-40
1392;408;-24
1368;416;-56
1304;384;-32
1264;376;-24
1232;392;-56
1240;384;-24
1272;384;-24
1280;392;-16
1280;408;-40
1256;408;16
1256;400;-40
1248;392;-80
1224;384;-48
1192;336;-72
1192;336;-64
1168;304;-48
1168;288;-32
1160;280;-64
1120;288;-56
1112;248;-24
1072;224;-8
1056;192;-72
1024;168;-96
992;152;-56
960;136;-72
944;144;-64
944;160;-56
896;176;-80
888;208;-32
904;200;-48
896;200;-64
912;208;-40
904;224;-24
888;232;-32
888;232;-32
888;232;-32
864;232;24
840;232;0
816;224;-8
808;224;-32
792;232;-56
792;248;-32
776;232;-40
792;224;-8
776;224;-56
744;216;-48
736;216;-40
736;224;-64
720;216;-72
752;216;-72
744;216;-40
760;216;-96
816;224;-64
864;232;-64
912;248;-40
944;232;-56
976;216;-80
1040;232;-48
1064;240;-48
1104;248;0
1152;248;-32
1240;256;-24
1296;256;8
1344;280;-24
1368;288;-8
1368;288;-40
1376;296;16
1360;336;-24
1344;360;-88
1312;352;-56
1320;360;-128
1304;376;-120
1280;376;-184
1232;376;-120
1168;352;-144
1096;344;-160
1064;328;-160
1032;320;-128
1024;304;-104
1016;296;-104
1000;256;-104
1008;240;-72
1008;224;-112
1008;208;-72
992;216;-64
968;216;-40
936;224;-72
904;224;-80
896;216;-88
872;208;-112
832;200;-80
816;216;-112
808;224;-112
776;232;-72
760;224;-88
776;280;-104
784;256;-96
808;232;-160
832;224;-176
848;200;-136
856;216;-144
872;240;-112
864;256;-96
888;288;-120
880;304;-112
864;304;-136
872;296;-176
880;296;-192
880;296;-184
888;264;-224
896;240;-248
880;224;-232
920;248;-208
944;312;-200
944;352;-192
952;384;-208
952;424;-128
952;472;-104
992;520;-88
992;520;-72
1000;480;-80
1024;440;-88
1056;360;-136
1144;296;-184
1216;216;-208
1280;144;-224
1280;104;-312
1304;112;-240
1328;160;-232
1352;264;-216
1384;320;-200
1456;376;-232
1464;376;-208
1432;368;-232
1400;344;-192
1344;352;-176
1296;336;-136
1248;320;-80
1224;304;-64
1232;288;-32
1256;264;-72
1264;232;-104
1280;144;-160
1312;80;-48
1344;32;-48
1376;8;-40
1344;-40;-56
1312;-96;-88
1280;-168;-88
1288;-136;-56
1224;-64;-8
1144;-8;8
1096;48;-24
